.TAYLOR SWIFT	https://nl4.mystreaming.net/er/taylorswift/icecast.audio	0	
.TESZT LAZA RADIO (VOR)	http://stream.lazaradio.com:8100/live.ogg	0	
.TESZT LIBLWIP CSERE	https://s2.euer.tv/audio320	0	
.TESZT TILOS (OPUS)	https://stream.tilos.hu/tilos.opus	0	
.TILOS	http://stream.tilos.hu/tilos_128.mp3	0	
.WDWH-ROOTS OF ROCK	http://s4.voscast.com:8950/stream	0	
.YOUVENTUS RÁDIÓ	http://s2.audiostream.hu/juventus_192k	0	
.YOUVENTUS RÁDIÓ (HI-FI)	http://s2.audiostream.hu:8090/juventus_FLAC	0	
.ZEBRÁDIÓ	https://stream.zebradio.hu:8443/zebradio	0	
.ZZ TOP	https://2.mystreaming.net/er/zztop/icecast.audio	0	
